trace_name,split,station,channel,start_time,end_time,sampling_rate,latitude,longitude,magnitude
mag_1.0_00,test,MG00,BHZ,2025-06-18T14:37:18.254645,2025-06-18T14:37:28.254645,100.0,-30.5,-69.7,1.0
mag_1.0_01,test,MG00,BHZ,2025-06-18T14:37:18.254645,2025-06-18T14:37:28.254645,100.0,-30.5,-69.7,1.0
mag_1.0_02,test,MG00,BHZ,2025-06-18T14:37:18.254645,2025-06-18T14:37:28.254645,100.0,-30.5,-69.7,1.0
mag_1.0_03,test,MG00,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.0
mag_1.0_04,test,MG00,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.0
mag_1.5_00,test,MG01,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.5
mag_1.5_01,test,MG01,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.5
mag_1.5_02,test,MG01,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.5
mag_1.5_03,test,MG01,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.5
mag_1.5_04,test,MG01,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,1.5
mag_2.0_00,test,MG02,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.0
mag_2.0_01,test,MG02,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.0
mag_2.0_02,test,MG02,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.0
mag_2.0_03,test,MG02,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.0
mag_2.0_04,test,MG02,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.0
mag_2.5_00,test,MG03,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.5
mag_2.5_01,test,MG03,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.5
mag_2.5_02,test,MG03,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.5
mag_2.5_03,test,MG03,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.5
mag_2.5_04,test,MG03,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,2.5
mag_3.0_00,test,MG04,BHZ,2025-06-18T14:37:18.255643,2025-06-18T14:37:28.255643,100.0,-30.5,-69.7,3.0
mag_3.0_01,test,MG04,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.0
mag_3.0_02,test,MG04,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.0
mag_3.0_03,test,MG04,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.0
mag_3.0_04,test,MG04,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.0
mag_3.5_00,test,MG05,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.5
mag_3.5_01,test,MG05,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.5
mag_3.5_02,test,MG05,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.5
mag_3.5_03,test,MG05,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.5
mag_3.5_04,test,MG05,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,3.5
mag_4.0_00,test,MG06,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.0
mag_4.0_01,test,MG06,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.0
mag_4.0_02,test,MG06,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.0
mag_4.0_03,test,MG06,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.0
mag_4.0_04,test,MG06,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.0
mag_4.5_00,test,MG07,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.5
mag_4.5_01,test,MG07,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.5
mag_4.5_02,test,MG07,BHZ,2025-06-18T14:37:18.256643,2025-06-18T14:37:28.256643,100.0,-30.5,-69.7,4.5
mag_4.5_03,test,MG07,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,4.5
mag_4.5_04,test,MG07,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,4.5
mag_5.0_00,test,MG08,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,5.0
mag_5.0_01,test,MG08,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,5.0
mag_5.0_02,test,MG08,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,5.0
mag_5.0_03,test,MG08,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,5.0
mag_5.0_04,test,MG08,BHZ,2025-06-18T14:37:18.257642,2025-06-18T14:37:28.257642,100.0,-30.5,-69.7,5.0
